word,type,definition
typically,adverb,used to say that something usually happens in the way that you are stating
tyre,noun,"a thick rubber ring that fits around the edge of a wheel of a car, bicycle, etc."
ugly,adjective,unpleasant to look at
ultimate,adjective,happening at the end of a long process
ultimately,adverb,in the end; finally
umbrella,noun,"an object with a round folding frame of long, straight pieces of metal covered with material, that you use to protect yourself from the rain or from hot sun"
unable,adjective,"not having the skill, strength, time, knowledge, etc. to do something"
unacceptable,adjective,so bad that you think it should not be allowed
uncertainty,noun,the state of being uncertain
uncle,noun,the brother of your mother or father; the husband of your aunt or uncle
uncomfortable,adjective,"not letting you feel physically comfortable; unpleasant to wear, sit on, etc."
unconscious,adjective,"in a state like sleep because of an injury or illness, and not able to use your senses"
under,adverb,below something
under,preposition,"in, to or through a position that is below something"
undergo,verb,"to experience something, especially a change or something unpleasant"
undergraduate,noun,a university or college student who is studying for their first degree
underground,adjective,under the surface of the ground
underground,adverb,under the surface of the ground
underlying,adjective,important in a situation but not always easily noticed or stated clearly
undermine,verb,"to make something, especially somebody’s confidence or authority, gradually weaker or less effective"
understand,verb,"to know or realize the meaning of words, a language, what somebody says, etc."
understanding,noun,the knowledge that somebody has about a particular subject or situation
undertake,verb,to make yourself responsible for something and start doing it
